Majority protein IDs,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
P09651,11173000000,12278000000,9585000000,10086000000,8822000000,10082000000,9186100000,10325000000
P09661,824890000,861460000,770820000,806070000,891530000,836970000,797380000,721530000
P09669,143280000,108690000,87087000,93287000,169530000,163670000,129160000,152660000
P09758,0,0,0,72655000,61651000,0,65508000,0
P09874,8402200000,8548300000,8291300000,8714600000,8616400000,8394600000,8209500000,8319200000
P09960,10654000000,11178000000,10138000000,10532000000,10985000000,10618000000,10007000000,10165000000
P09972,5863700000,6948100000,6561800000,6331400000,5882600000,6223900000,5892200000,5674400000
Q71UI9,2043000000,2065600000,1756400000,1597600000,2553900000,1763700000,1482500000,2223300000
P0C870,0,0,0,0,0,0,0,0
P0CG13,0,38493000,0,0,0,0,0,0
P0CG30,285950000,226480000,250210000,222010000,274730000,238010000,248410000,230170000
P0DI82,0,0,0,0,0,0,0,23208000
P0DJ93,0,0,0,0,0,0,0,0
P0DMN0,420810000,289670000,361570000,351930000,431710000,323870000,318990000,321340000
P0DMV9,19042000000,18439000000,16581000000,16051000000,19168000000,19832000000,18397000000,18301000000
P0DN76,260890000,359530000,329210000,434470000,364630000,371410000,344140000,427360000
P0DPB6,96715000,0,137170000,0,0,0,0,112750000
P0DPD7,0,0,0,0,0,0,0,0
P10109,0,0,0,0,0,0,0,15379000
P10155,2037700000,1849500000,1870700000,1878400000,2150300000,1891000000,1710600000,1875400000
P10253,1726200000,1386900000,1726600000,1827000000,1887200000,1798300000,1729800000,1679700000
P10301,739050000,742350000,723290000,780490000,830660000,734270000,745280000,695860000
P10316,0,0,0,0,0,0,0,0
P10321,218090000,950270000,0,0,0,0,0,0
P10398,96884000,76249000,69803000,89877000,103350000,93871000,117630000,106800000
P10412,0,0,0,0,0,0,0,0
P10515,813630000,672160000,709340000,693460000,780520000,735480000,683010000,670840000
P10586,119060000,91682000,116440000,99117000,140870000,176470000,116940000,109250000
P10599,12433000000,11011000000,11287000000,12041000000,11916000000,10234000000,10531000000,10763000000
P10606,81886000,0,0,0,78587000,72571000,0,0
P10619,252890000,210540000,231290000,255150000,302110000,263930000,220380000,219760000
P10620,0,345980000,324350000,357710000,341140000,309500000,293180000,330430000
P10636,568300000,644230000,628640000,700270000,351620000,470400000,425250000,461110000
P10644,1606600000,1603300000,1594200000,1476300000,1602200000,1522800000,1570900000,1539900000
P10768,3885600000,3267200000,3333800000,2941600000,3332800000,4040000000,3704600000,3554200000
P10809,61889000000,60245000000,53506000000,53384000000,64341000000,59326000000,55997000000,58920000000
P10909,0,0,0,0,0,0,0,0
P11021,36123000000,40537000000,39733000000,41427000000,39174000000,40206000000,36359000000,39969000000
P11047,0,0,0,0,52252000,64965000,60224000,0
P11142,58326000000,58148000000,59250000000,58730000000,61322000000,61968000000,59191000000,60871000000
P11166,582650000,478340000,506560000,526250000,681530000,482890000,507720000,533670000
P11171,0,0,0,0,0,451690000,391040000,238530000
P11172,1651800000,1464100000,1354200000,1353700000,1824000000,1416300000,1376700000,1379500000
P11177,606350000,771830000,722920000,939740000,1026300000,954580000,918100000,913410000
P11182,57729000,43105000,42998000,33036000,58612000,62339000,76428000,69592000
P11216,2106800000,1872900000,1947400000,2075000000,2289400000,2035000000,1955600000,2032500000
P11233,669550000,694190000,784320000,721230000,860600000,746160000,769310000,752730000
P11234,0,145860000,0,0,142350000,114570000,140950000,216840000
P11279,399190000,471170000,590380000,462260000,568740000,428020000,373470000,516750000
P11310,1106600000,1050600000,1142500000,1201300000,1130800000,1147500000,1189600000,1248300000
P11387,1791400000,1903000000,1995700000,2107900000,1757100000,1931000000,1846700000,1986000000
P11388,79034000,0,0,0,60671000,0,0,0
P11413,6342000000,5236600000,5983300000,5707700000,6998400000,7277900000,6464700000,6615800000
P11441,0,139310000,0,189100000,167480000,142060000,0,134530000
P11474,0,0,0,0,0,0,0,0
P11498,0,0,0,0,0,0,0,21395000
P11586,8684100000,7725200000,7214900000,6951600000,7541400000,8287600000,7548100000,7868600000
P11597,0,0,0,0,0,0,0,0
P11717,186670000,283840000,183850000,211840000,138730000,239280000,216500000,159410000
P11766,5108700000,4698600000,4643800000,4658700000,5018900000,4742200000,4474900000,4688400000
P11802,65630000,68945000,53339000,46929000,71236000,88435000,69687000,72573000
P11908,520120000,495390000,472200000,579320000,668750000,560750000,663560000,738300000
P11940,8927200000,9200400000,8718300000,8648300000,9971800000,9639600000,8664800000,7986000000
P12004,8366200000,8967800000,8462800000,8177400000,6556500000,7881200000,7424500000,7858700000
P12074,0,262420000,230840000,187620000,273550000,203830000,209760000,243840000
P12081,3436200000,3433000000,3367300000,3635500000,3921600000,3339100000,3487600000,3455300000
P12109,71799000,71411000,58489000,73393000,94395000,91543000,70622000,72544000
